Year,Date,Day,Time,Hour,AwayPrime,After7,Overlap,NHLReg,NHLPlay,NBAReg,NBAPlay,CF,NFL,Soccer,Away1,Home1,Share1,Away2,Home2,Share2,Away3,Home3,Share3,Away4,Home4,Share4,Away5,Home5,Share5,TOTAL,AwayPop,HomePop,Market,Round,Game,WT,LT,DIF,Leverage,TV,Rating,Share,KeyDemo,Viewers
2012,10/15/12,Mon,8:07 PM,8.116666667,0.383333333,1,0,0,0,0,0,0,1,0,STL,SF,,,,,,,,,,,,,,,2810056,8469854,11279910,LCS,2,1,0,1,0.388,Fox,3.6,6,,5600000
2006,10/10/06,Tue,8:00 PM,8,0.5,1,0,1,0,0,0,0,0,0,DET,OAK,,,,,,,,,,,,,,,5314163,8469854,13784017,LCS,1,0,0,0,0.422,FOX,6,,,8587000
2007,10/15/07,Mon,10:00 PM,10,1.5,1,0,1,0,0,0,0,1,0,ARI,COL,,,,,,,,,,,,,,,4398762,3277309,7676071,LCS,4,3,0,3,0.08,TBS,2.5,,,3803000
2006,10/14/06,Sat,4:00 PM,4,4.5,0,0,1,0,0,0,1,0,0,OAK,DET,,,,,,,,,,,,,,,8469854,5314163,13784017,LCS,4,3,0,3,0.08,FOX,5.2,,,7724000
2004,10/17/04,Sun,8:00 PM,8,0.5,1,0,0,0,0,0,0,1,0,NYY,BOS,,,,,,,,,,,,,,,23484225,8041303,31525528,LCS,4,3,0,3,0.08,FOX,9.5,,,14821000
2011,10/28/07,Sun,8:00 PM,8,0.5,1,0,1,0,0,0,0,1,0,BOS,COL,,,,,,,,,,,,,,,8041303,3277309,11318612,WS,4,3,0,3,0.08,FOX,12.6,14.251,7.1,20946000
2010,10/26/05,Wed,8:00 PM,8,0.5,1,0,1,0,0,0,0,0,0,CHW,HOU,,,,,,,,,,,,,,,9912730,6508323,16421053,WS,4,3,0,3,0.08,FOX,13,14.281,6.6,19979000
2010,10/27/04,Wed,8:00 PM,8,0.5,1,0,0,0,0,0,0,0,0,BOS,STL,,,,,,,,,,,,,,,8041303,2810056,10851359,WS,4,3,0,3,0.08,FOX,18.2,19.93,10,28844000
2012,10/18/12,Thu,4:07 PM,4.116666667,4.383333333,0,0,0,0,0,0,0,1,0,NYY,DET,,,,,,,,,,,,,,,23484225,5314163,28798388,LCS,4,3,0,3,0.08,TBS,3.5,,,5251000
2012,10/28/12,Sun,8:15 PM,8.25,0.25,1,0,0,0,0,0,0,1,0,SF,DET,,,,,,,,,,,,,,,8469854,5314163,13784017,WS,4,3,0,3,0.08,Fox,8.9,14,,15500000
2003,10/4/03,Sat,7:30 PM,7.5,1,1,0,0,0,0,0,1,0,0,OAK,BOS,,,,,,,,,,,,,,,8469854,8041303,16511157,LDS,3,2,0,2,0.198,ESPN2,2.8,,,4582000
2004,10/8/04,Fri,4:00 PM,4,4.5,0,0,0,0,0,0,0,0,0,ANA,BOS,,,,,,,,,,,,,,,18351929,8041303,26393232,LDS,3,2,0,2,0.198,ESPN,3,,,4135000
2004,10/9/04,Sat,7:30 PM,7.5,1,1,0,0,0,0,0,1,0,0,STL,LA,,,,,,,,,,,,,,,2810056,18351929,21161985,LDS,3,2,0,2,0.198,FOX,5.1,,,7772000
2005,10/7/05,Fri,4:00 PM,4,4.5,0,0,1,0,0,0,0,0,0,CHW,BOS,,,,,,,,,,,,,,,9912730,8041303,17954033,LDS,3,2,0,2,0.198,ESPN2,3.3,,,4494000
2005,10/8/05,Sat,11:00 PM,11,2.5,1,0,1,0,0,0,1,0,0,STL,SD,,,,,,,,,,,,,,,2810056,3211252,6021308,LDS,3,2,0,2,0.198,ESPN,1.8,,,2461000
2006,10/6/06,Fri,4:00 PM,4,4.5,0,0,1,0,0,0,0,0,0,MIN,OAK,,,,,,,,,,,,,,,3797883,8469854,12267737,LDS,3,2,0,2,0.198,ESPN,2.3,,,3029000
