Year,Date,Day,Holiday,Clock,Time,AwayPrime,Window,Past7,NBAPlay,NHLReg,NHLPlay,MLBReg,MLBPlay,NFL,CF,Away,Home,AwayPop,HomePop,Market,Round,Game,WT,LT,Dif,Leverage,TV,Rating,Viewers
2013,1/4/13,Fri,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,1,Lakers,Clippers,18351929,18351929,36703858,RS,,,,,,ESPN,,3086000
2013,1/4/13,Fri,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,1,Bulls,Heat,9912730,6447610,16360340,RS,,,,,,ESPN,,1831000
2012,1/5/12,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Heat,Hawks,6447610,6162195,12609805,RS,,,,,,TNT,,3044000
2012,1/5/12,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Lakers,Blazers,18351929,3022178,21374107,RS,,,,,,TNT,,2772000
2012,1/6/12,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,1,Bulls,Magic,9912730,2975658,12888388,RS,,,,,,ESPN,,1794000
2012,1/6/12,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,1,Blazers,Suns,3022178,4398762,7420940,RS,,,,,,ESPN,,1290000
2014,1/8/14,Wed,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Mavs,Spurs,7206144,2277550,9483694,RS,,,,,,ESPN,,1200000
2014,1/8/14,Wed,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Suns,Wolves,4398762,3797883,8196645,RS,,,,,,ESPN,,1110000
2013,1/9/13,Wed,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Lakers,Spurs,18351929,2277550,20629479,RS,,,,,,ESPN,,2009000
2013,1/9/13,Wed,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Mavs,Clippers,7206144,18351929,25558073,RS,,,,,,ESPN,,1760000
2014,1/9/14,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Heat,Knicks,6447610,23484225,29931835,RS,,,,,,TNT,,3140000
2014,1/9/14,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Thunder,Nuggets,1390835,3277309,4668144,RS,,,,,,TNT,,1710000
2013,1/10/13,Thu,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Knicks,Pacers,23484225,2336237,25820462,RS,,,,,,TNT,,1450000
2013,1/10/13,Thu,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Heat,Blazers,6447610,3022178,9469788,RS,,,,,,TNT,,1370000
2014,1/10/14,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Heat,Nets,6447610,23484225,29931835,RS,,,,,,ESPN,,2490000
2014,1/10/14,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Lakers,Clippers,18351929,18351929,36703858,RS,,,,,,ESPN,,1520000
2012,1/11/12,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Heat,Clippers,6447610,18351929,24799539,RS,,,,,,ESPN,,3469000
2012,1/11/12,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Mavs,Celtics,7206144,8041303,15247447,RS,,,,,,ESPN,,2450000
2013,1/11/13,Fri,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Thunder,Lakers,1390835,18351929,19742764,RS,,,,,,ESPN,,2307000
2013,1/11/13,Fri,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Bulls,Knicks,9912730,23484225,33396955,RS,,,,,,ESPN,,1891000
2012,1/12/12,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Knicks,Grizzlies,23484225,1369006,24853231,RS,,,,,,TNT,,1716000
2012,1/12/12,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Magic,Warriors,2975658,8469854,11445512,RS,,,,,,TNT,,1469000
2012,1/13/12,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Heat,Nuggets,6447610,3277309,9724919,RS,,,,,,ESPN,,2748000
2012,1/13/12,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Bulls,Celtics,9912730,8041303,17954033,RS,,,,,,ESPN,,2461000
