Year,Week,Day,Date,Holiday,Kickoff,Type,Time,Hour,AwayPrime,After7,MLBReg,MLBPlay,NHLReg,NHLPlay,NBAReg,NBAPlay,NFL,Away,Home,PctMarket,Away2,Home2,Away3,Home3,AwayPop,HomePop,Market,Round,TV,Rating,Viewers,,
2012,,Sat,1/7/12,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,CIN,HOU,,,,,,2137406,6508323,8645729,WC,NBC,13.5,21893000,,
2012,,Sat,1/7/12,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,DET,NO,,,,,,5314163,1467880,6782043,WC,NBC,18.2,31780000,,
2012,,Sun,1/8/12,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,ATL,NYG,,,,,,6162195,23484225,29646420,WC,FOX,17.3,27735000,,
2012,,Sun,1/8/12,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,PIT,DEN,,,,,,2360867,3277309,5638176,WC,CBS,24,42371000,,
2012,,Sat,1/14/12,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,NO,SF,,,,,,1467880,8469854,9937734,DIV,FOX,20.5,35601000,,
2012,,Sat,1/14/12,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,DEN,NE,,,,,,3277309,8041303,11318612,DIV,CBS,18.5,34161000,,
2012,,Sun,1/15/12,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,HOU,BAL,,,,,,6508323,2770738,9279061,DIV,CBS,19,30963000,,
2012,,Sun,1/15/12,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,NYG,GB,,,,,,23484225,2040498,25524723,DIV,FOX,25.3,45120000,,
2012,,Sun,1/22/12,0,0,National,3:00 PM,3,5.5,0,0,0,1,0,1,0,0,BAL,NE,,,,,,2770738,8041303,10812041,CC,CBS,27.4,48676000,,
2012,,Sun,1/22/12,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,NYG,SF,,,,,,23484225,8469854,31954079,CC,FOX,30.6,57635000,,
2012,,Sun,2/5/12,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,NYG,NE,,,,,,23484225,8041303,31525528,SB,NBC,47,111346000,,
2011,,Sat,1/8/11,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,NO,SEA,,,,,,1467880,3610105,5077985,WC,NBC,16.8,28304000,,
2011,,Sat,1/8/11,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,NYJ,IND,,,,,,23484225,2336237,25820462,WC,NBC,18.7,33350000,,
