Year,Date,Day,Time,WinClass,Hour,AwayPrime,Past7,Window,MLBReg,MLBPlay,NBAReg,NBAPlay,NFL,CF,Duration,Conference,Round,RoundNum,Away1,Home1,Away2,Home2,AwayPop,HomePop,Market,AmerMkt,Canada,Game,WT,LT,Dif,Lcode,Leverage,TV,Rating,Share,Viewers
2013,5/5/13,Sun,12:00 PM,0,0,8.5,0,1,1,0,0,1,0,0,,East,QF,1,PIT,NYI,,,2659937,23484225,26144162,26144162,0,3,1,1,0,11,0.382,NBC,1.1,,1700000
2013,2/3/13,Sun,12:30 PM,0,0.5,8,0,1,0,0,1,0,0,0,,,RS,0,PIT,WAS,,,2659937,9443180,12103117,12103117,0,,,,,,,NBC,0.9,,1500000
2013,2/10/13,Sun,12:30 PM,0,0.5,8,0,1,0,0,1,0,0,0,,,RS,0,LA,DET,,,18351929,5314163,23666092,23666092,0,,,,,,,NBC,0.9,,1500000
2013,2/17/13,Sun,12:30 PM,0,0.5,8,0,1,0,0,0,0,0,0,,,RS,0,PIT,BUF,,,2659937,1213007,3872944,3872944,0,,,,,,,NBC,1.1,,1700000
2013,3/3/13,Sun,12:30 PM,0,0.5,8,0,1,0,0,1,0,0,0,,,RS,0,CHI,DET,,,9912730,5314163,15226893,15226893,0,,,,,,,NBC,1.3,,1900000
2013,3/10/13,Sun,12:30 PM,0,0.5,8,0,1,0,0,1,0,0,0,,,RS,0,NYR,WAS,,,23484225,9443180,32927405,32927405,0,,,,,,,NBC,0.7,,959000
2013,3/31/13,Sun,12:30 PM,0,0.5,8,0,1,0,0,1,0,0,0,,,RS,0,CHI,DET,,,9912730,5314163,15226893,15226893,0,,,,,,,NBC,0.8,,1100000
2013,4/7/13,Sun,12:30 PM,0,0.5,8,0,1,1,0,1,0,0,0,,,RS,0,STL,DET,,,2905893,5314163,8220056,8220056,0,,,,,,,NBC,0.7,,933000
2013,4/14/13,Sun,12:30 PM,0,0.5,8,0,1,1,0,1,0,0,0,,,RS,0,CHI,STL,,,9912730,2905893,12818623,12818623,0,,,,,,,NBC,0.7,,933000
2013,4/21/13,Sun,12:30 PM,0,0.5,8,0,1,1,0,0,1,0,0,,,RS,0,NJ,NYR,,,23484225,23484225,46968450,46968450,0,,,,,,,NBC,0.5,,800000
2013,4/30/13,Tue,11:30 PM,0,11.5,3,1,4,1,0,0,1,0,0,99,West,QF,1,DET,ANA,,,5314163,18351929,23666092,23666092,0,1,0,0,0,0,0.372,NBCSN,0.3,,348000
2013,5/16/13,Thu,10:52 PM,0,10.86666667,2.366666667,1,4,1,0,0,1,0,0,123,West,SF,2,SJ,LA,,,8469854,18351929,26821783,26821783,0,2,1,0,1,10,0.364,NBCSN,0.5,,805000
2013,5/23/13,Thu,10:47 PM,0,10.78333333,2.283333333,1,4,1,0,0,0,0,0,161,West,SF,2,SJ,LA,,,8469854,18351929,26821783,26821783,0,5,2,2,0,22,0.576,NBCSN,0.6,,995000
2013,5/10/13,Fri,10:42 PM,0,10.7,2.2,1,4,1,0,0,1,0,0,123,West,QF,1,STL,LA,,,2905893,18351929,21257822,21257822,0,6,3,2,1,32,0.5,NBCSN,0.2,,368000
2013,5/1/13,Wed,10:33 PM,0,10.55,2.05,1,4,1,0,0,1,0,0,164,West,QF,1,SJ,VAN,,,8469854,2476145,10945999,8469854,1,1,0,0,0,0,0.372,NBCSN,0.2,,398000
2013,5/8/13,Wed,10:25 PM,0,10.41666667,1.916666667,1,4,1,0,0,1,0,0,113,West,QF,1,LA,STL,,,18351929,2905893,21257822,21257822,0,5,2,2,0,22,0.576,CNBC,0.2,,279000
2013,5/12/13,Sun,10:16 PM,0,10.26666667,1.766666667,1,4,1,0,0,1,0,0,166,West,QF,1,DET,ANA,,,5314163,18351929,23666092,23666092,0,7,3,3,0,33,1,NBCSN,0.5,,822000
2013,5/2/13,Thu,10:15 PM,0,10.25,1.75,1,4,1,0,0,1,0,0,175,East,QF,1,DET,ANA,,,5314163,18351929,23666092,23666092,0,2,0,1,1,1,0.364,NBCSN,0.2,,305000
2013,5/14/13,Tue,10:15 PM,0,10.25,1.75,1,4,1,0,0,1,0,0,156,West,SF,2,SJ,LA,,,8469854,18351929,26821783,26821783,0,1,0,0,0,0,0.372,NBCSN,0.4,,625000
2013,5/8/13,Wed,10:13 PM,0,10.21666667,1.716666667,1,4,1,0,0,1,0,0,173,West,QF,1,DET,ANA,,,5314163,18351929,23666092,23666092,0,5,2,2,0,22,0.576,NBCSN,0.3,,370000
2013,5/4/13,Sat,10:13 PM,0,10.21666667,1.716666667,1,4,1,0,0,1,0,0,158,West,QF,1,STL,LA,,,2905893,18351929,21257822,21257822,0,3,0,2,2,2,0.292,CNBC,0.3,,466000
2013,5/6/13,Mon,10:13 PM,0,10.21666667,1.716666667,1,4,1,0,0,1,0,0,166,West,QF,1,STL,LA,,,2905893,18351929,21257822,21257822,0,4,1,2,1,12,0.407,NBCSN,0.3,,358000
2013,5/21/13,Tue,10:13 PM,0,10.21666667,1.716666667,1,4,1,0,0,1,0,0,154,West,SF,2,LA,SJ,,,18351929,8469854,26821783,26821783,0,4,2,1,1,21,0.407,NBCSN,0.5,,800000
2013,5/7/13,Tue,10:10 PM,0,10.16666667,1.666666667,1,4,1,0,0,1,0,0,191,West,QF,1,VAN,SJ,,,2476145,8469854,10945999,8469854,1,4,3,0,3,30,0.093,CNBC,0.2,,204000
2013,5/5/13,Sun,10:02 PM,0,10.03333333,1.533333333,1,4,1,0,0,1,0,0,169,West,QF,1,VAN,SJ,,,2476145,8469854,10945999,8469854,1,3,2,0,2,20,0.292,NBCSN,0.3,,457000
